StudyHours,Attendance,Assignments,Grade,Pass
9.28747258267156,0.4913872616279011,6,86.73601534768659,1
5.266541277024627,0.8177922250466416,7,79.46823091248756,1
10.30317503893659,0.6676937653444184,1,90.70659303268255,1
8.368416348712367,0.6286127356578894,7,93.37666669615314,1
1.1301281746517944,0.580907253488726,0,33.45204380246957,0
11.707468219641072,0.7781695558713331,4,100.0,1
9.133676423884236,0.6170875663320343,3,88.38099647225735,1
9.432771663323447,0.45258995158966064,2,100.0,1
1.5373635921065505,0.4708035412723092,0,53.933328346529315,0
5.404631254746805,0.9771385987297088,6,76.71229854346711,1
4.449576290790975,0.9451484144245642,2,66.64925095344373,1
11.121179866183223,0.8198242802864497,5,94.53405495054943,1
7.726381440967975,0.5595219768757118,3,74.74212135641609,1
9.87313935924996,0.9815058264086344,2,97.63042047770489,1
5.320970385927973,0.8672505423794767,7,90.72664404626144,1
2.7268646614173226,0.8301341134953975,0,48.58804578050584,0
6.655017444190017,0.6696169012862732,5,75.75739667736296,1
0.7658070732501039,0.5633449371070954,5,34.91174948557183,0
9.931574063910984,0.4578345772920996,3,86.28958560880037,1
7.579972789464778,0.941561437926305,2,76.1781972649401,1
9.097052881024485,0.6734657739001666,0,77.42909331535836,1
4.25431161755842,0.5214180188771382,7,64.11103069465005,1
11.648376292738838,0.5835739744903915,7,100.0,1
10.717453455866373,0.7475317413651377,1,80.29031267596491,1
9.340601964885142,0.506063669763539,0,68.68684610898254,1
2.335664494223611,0.9139685704554253,0,68.39529076557993,1
5.60065204472441,0.8551117179011261,0,58.973406103781485,0
0.5256451894467453,0.831677773570562,6,48.67915333157314,0
1.851473904810574,0.6592558238650623,7,74.3305859186412,1
8.196587438909456,0.7763853044214659,1,100.0,1
8.937145870893806,0.7504587813476413,5,84.70650940546571,1
11.61011678921052,0.7899079609328921,1,95.14897710935213,1
3.9099042976578233,0.4506665926839335,2,58.57176133901979,0
4.445516472418427,0.6494844413023658,4,79.22905140449492,1
5.634669735309695,0.4249685043171355,5,63.63778526683157,1
2.2736563090114283,0.6963944915467113,6,60.32449519259432,1
1.5590580640256597,0.5979167273996712,0,48.883176287748796,0
5.708459114711205,0.4867145133196282,1,66.37825653827268,1
2.7229121886106094,0.462041780633531,2,48.07772161939085,0
8.037767936190125,0.7525867433066272,2,81.09626020823288,1
5.245823026467969,0.5023557811221316,7,65.002795490899,1
9.992138352694049,0.9550720710260783,6,100.0,1
8.403181224026989,0.748636683820237,2,81.84329112167161,1
3.748399696584493,0.6081218827209023,7,71.1799454254074,1
9.987117616742413,0.7545492948888501,3,89.74185992640747,1
9.657172289961622,0.4136823226178185,4,90.72884310198813,1
4.649740548362093,0.9751355279448672,3,79.51047591577418,1
3.4599372471629293,0.6893820621657402,1,57.68334532337612,0
8.189946047699706,0.8696411363501717,7,98.56685861475644,1
1.6770298033117177,0.44963799995346315,0,41.41459048801058,0
2.3988984297013,0.6919949985028961,1,51.55520318426406,0
0.08834723701206615,0.6944241966127125,1,35.46164443511224,0
9.44309253002566,0.9626958729849897,2,95.19622143553613,1
7.978210279104386,0.7430368314256452,1,78.67513977931954,1
8.46198454351602,0.6840936406341722,0,92.95157678407452,1
9.368748372263614,0.5601853978551361,5,100.0,1
5.5069893064600794,0.5989413984055313,7,80.51330250701452,1
6.824894351434725,0.7124034414829227,0,65.66616124868176,1
1.6775639775318893,0.663346876183028,2,41.9323643119297,0
1.3743608824316813,0.4129672479281983,4,55.994277865858095,0
8.02083554148566,0.8957751545166147,7,97.65475826549344,1
5.65315447371759,0.93769646310386,5,84.2500745596629,1
6.782833277774266,0.4841494533991665,6,67.22848689248045,1
9.179986288992307,0.7324216861234296,4,98.00443728053892,1
7.61661984000709,0.4651454446812662,3,79.64362649315989,1
6.64295280789595,0.803344055823887,1,66.38003980347696,1
6.710485928944962,0.568740270303405,6,77.48446421285429,1
3.6474011767513463,0.795653580815141,6,72.46661769520492,1
0.3698140148152729,0.8361967685721297,0,42.86631023104961,0
5.240608670788348,0.8611884951505941,5,75.33349322217107,1
2.5750160738343504,0.46464456757353795,0,44.92855062941391,0
4.902343724695633,0.9496071070825648,5,75.75955037274214,1
10.240836879217994,0.5381283945369285,6,98.18652249570222,1
2.807273830384089,0.42244753370570787,1,58.42430887090988,0
0.6996329002687922,0.7329114816348901,3,30.649858467468928,0
3.3766067042639585,0.6225533703174633,0,51.00082773524848,0
3.5231250932002034,0.897873845879448,4,68.90406431455706,1
7.942998176722741,0.8849508832385811,7,97.29736684085047,1
6.6843858280953405,0.5902833356936292,0,65.28731661948119,1
9.406778509276961,0.971739637041847,3,82.89027710801626,1
7.97176248392865,0.5745507028840712,7,91.45144236653772,1
4.876642337280846,0.7090342775390288,2,78.08002026887794,1
9.768244615992415,0.5535790543405616,1,73.42212540916186,1
2.003675038892447,0.961626142029378,3,65.49695912315863,1
0.27254487760632573,0.4987646905492109,4,41.78383266163433,0
1.080574329307701,0.4269463716353974,5,48.29641379258298,0
8.668312207157403,0.6610582360018228,2,75.85877373946435,1
5.542526763016649,0.9954253384335022,7,83.57144202465882,1
1.9352613484032215,0.9350063597529483,4,69.88969383028714,1
6.0125373012403625,0.8491648116741695,2,78.32206197335108,1
