age,gender,split,final,split_seconds,final_seconds,split_hours,final_hours,second_half_hours,slowdown_minutes,female,under_4h,under_3h30,negative_split
31,M,01:06:32,02:13:59,3992,8039,1.1088888888888888,2.2330555555555556,1.1241666666666668,0.9166666666666666,0,1,1,0
24,M,01:09:16,02:19:45,4156,8385,1.1544444444444444,2.3291666666666666,1.1747222222222222,1.2166666666666666,0,1,1,0
30,M,01:11:51,02:26:15,4311,8775,1.1975,2.4375,1.24,2.55,0,1,1,0
36,W,01:12:57,02:28:13,4377,8893,1.2158333333333333,2.4702777777777776,1.2544444444444445,2.316666666666667,1,1,1,0
33,M,01:13:40,02:29:52,4420,8992,1.2277777777777779,2.497777777777778,1.27,2.533333333333333,0,1,1,0
31,W,01:14:39,02:30:45,4479,9045,1.2441666666666666,2.5125,1.2683333333333333,1.45,1,1,1,0
34,M,01:14:07,02:31:18,4447,9078,1.2352777777777777,2.5216666666666665,1.2863888888888888,3.066666666666667,0,1,1,0
29,M,01:07:09,02:31:49,4029,9109,1.1191666666666666,2.5302777777777776,1.4111111111111112,17.516666666666666,0,1,1,0
33,M,01:15:59,02:32:27,4559,9147,1.2663888888888888,2.5408333333333335,1.2744444444444445,0.48333333333333334,0,1,1,0
29,M,01:13:34,02:32:45,4414,9165,1.2261111111111112,2.5458333333333334,1.3197222222222222,5.616666666666666,0,1,1,0
34,M,01:14:12,02:33:26,4452,9206,1.2366666666666666,2.5572222222222223,1.3205555555555555,5.033333333333333,0,1,1,0
26,M,01:16:15,02:33:49,4575,9229,1.2708333333333333,2.5636111111111113,1.2927777777777778,1.3166666666666667,0,1,1,0
35,M,01:15:10,02:35:04,4510,9304,1.2527777777777778,2.5844444444444443,1.3316666666666668,4.733333333333333,0,1,1,0
38,M,01:12:39,02:35:10,4359,9310,1.2108333333333334,2.5861111111111112,1.3752777777777778,9.866666666666667,0,1,1,0
34,M,01:16:03,02:36:04,4563,9364,1.2675,2.601111111111111,1.333611111111111,3.966666666666667,0,1,1,0
28,M,01:16:59,02:36:35,4619,9395,1.2830555555555556,2.609722222222222,1.3266666666666667,2.6166666666666667,0,1,1,0
33,M,01:16:46,02:36:43,4606,9403,1.2794444444444444,2.6119444444444446,1.3325,3.183333333333333,0,1,1,0
38,M,01:17:28,02:38:12,4648,9492,1.291111111111111,2.6366666666666667,1.3455555555555556,3.2666666666666666,0,1,1,0
40,M,01:17:58,02:39:59,4678,9599,1.2994444444444444,2.6663888888888887,1.3669444444444445,4.05,0,1,1,0
23,W,01:20:25,02:40:12,4825,9612,1.3402777777777777,2.67,1.3297222222222222,-0.6333333333333333,1,1,1,1
33,M,01:18:35,02:40:32,4715,9632,1.3097222222222222,2.6755555555555555,1.3658333333333332,3.3666666666666667,0,1,1,0
44,M,01:19:12,02:41:17,4752,9677,1.32,2.6880555555555556,1.3680555555555556,2.8833333333333333,0,1,1,0
30,M,01:18:28,02:41:36,4708,9696,1.3077777777777777,2.6933333333333334,1.3855555555555557,4.666666666666667,0,1,1,0
40,M,01:18:15,02:41:59,4695,9719,1.3041666666666667,2.6997222222222224,1.3955555555555557,5.483333333333333,0,1,1,0
